Date,Win Or Loss,Champ,Kills,Deaths,Assists,KDA,Vision Score,Vision Per Min,Damage To Champs,Gold,Vision Wards,Role,
10/01/2021,Loss,Bard,0,12,13,1.0,12,0.4376899696048632,14876,7016,2,SUPPORT,
10/01/2021,Loss,Bard,8,15,19,1.69,59,1.3414172034861689,32219,13314,5,SUPPORT,
10/01/2021,Loss,Bard,3,7,19,2.75,43,1.4759725400457666,19285,8688,4,SUPPORT,
09/01/2021,Win,Bard,6,2,21,9.0,57,1.6756491915727585,21089,10472,4,SUPPORT,
09/01/2021,Win,Bard,8,3,13,5.25,67,1.9832264430192403,20229,10480,5,SUPPORT,
09/01/2021,Loss,Bard,0,6,10,1.43,46,1.4270941054808686,10276,6777,4,SUPPORT,
08/01/2021,Loss,Bard,6,3,2,2.0,36,1.3432835820895521,10023,8043,3,SUPPORT,
08/01/2021,Win,Bard,2,2,3,1.67,32,1.4339058999253174,7802,5558,4,SUPPORT,
08/01/2021,Win,Bard,2,1,9,5.5,31,1.468034727703236,9745,6073,3,SUPPORT,
08/01/2021,Loss,Bard,3,3,2,1.25,34,1.1283185840707965,16314,6961,3,SUPPORT,
